HJD	Mag	Band
2459763.40241 	-0.074 	V
2459763.40632 	-0.085 	V
2459763.41025 	-0.101 	V
2459763.41416 	-0.122 	V
2459763.41807 	-0.124 	V
2459763.42199 	-0.131 	V
2459763.42591 	-0.134 	V
2459763.42983 	-0.140 	V
2459763.43374 	-0.148 	V
2459763.43765 	-0.150 	V
2459763.44158 	-0.153 	V
2459763.44549 	-0.144 	V
2459763.44941 	-0.147 	V
2459763.45332 	-0.127 	V
2459763.45724 	-0.112 	V
2459763.46116 	-0.108 	V
2459763.46507 	-0.100 	V
2459763.46900 	-0.092 	V
2459763.47291 	-0.060 	V
2459763.47682 	-0.048 	V
2459762.19108 	0.042 	R
2459762.19626 	0.074 	R
2459762.20018 	0.106 	R
2459762.20410 	0.125 	R
2459762.20801 	0.166 	R
2459762.21193 	0.217 	R
2459762.21585 	0.260 	R
2459762.21977 	0.314 	R
2459762.22368 	0.325 	R
2459762.22761 	0.324 	R
2459762.23152 	0.331 	R
2459762.23544 	0.326 	R
2459762.23936 	0.324 	R
2459762.24328 	0.321 	R
2459762.24720 	0.325 	R
2459762.25111 	0.317 	R
2459762.25624 	0.274 	R
2459762.26016 	0.227 	R
2459762.26409 	0.185 	R
2459762.26800 	0.133 	R
2459762.27192 	0.100 	R
2459762.27583 	0.068 	R
2459762.27976 	0.037 	R
2459762.29595 	-0.030 	R
2459762.30045 	-0.051 	R
2459762.30436 	-0.058 	R
2459762.30829 	-0.068 	R
2459762.31220 	-0.078 	R
2459762.31612 	-0.085 	R
2459762.32004 	-0.097 	R
2459762.32396 	-0.095 	R
2459762.32788 	-0.092 	R
2459762.33179 	-0.091 	R
2459762.33572 	-0.094 	R
2459762.34130 	-0.071 	R
2459762.34522 	-0.061 	R
2459762.34913 	-0.057 	R
2459762.35306 	-0.037 	R
2459762.35697 	-0.024 	R
2459762.36089 	-0.013 	R
2459762.36480 	0.008 	R
2459762.36873 	0.030 	R
2459762.37265 	0.033 	R
2459762.37656 	0.063 	R
2459762.38049 	0.086 	R
2459762.38440 	0.124 	R
2459762.38832 	0.154 	R
2459762.39223 	0.177 	R
2459762.39616 	0.240 	R
2459762.40007 	0.273 	R
2459762.40399 	0.316 	R
2459762.40791 	0.346 	R
2459762.41183 	0.351 	R
2459762.41574 	0.348 	R
2459762.41966 	0.356 	R
2459762.42358 	0.344 	R
2459762.42750 	0.337 	R
2459762.43142 	0.336 	R
2459762.43534 	0.328 	R
2459762.43926 	0.291 	R
2459762.44317 	0.251 	R
2459762.44709 	0.214 	R
2459762.45101 	0.193 	R
2459762.45493 	0.138 	R
2459762.45885 	0.105 	R
2459762.46277 	0.069 	R
2459762.46669 	0.043 	R
2459762.47060 	0.036 	R
2459762.47871 	-0.012 	R
2459762.48264 	-0.025 	R
2459763.16953 	0.316 	R
2459763.17416 	0.311 	R
2459763.17807 	0.272 	R
2459763.18200 	0.226 	R
2459763.18591 	0.175 	R
2459763.18983 	0.149 	R
2459763.19374 	0.119 	R
2459763.19767 	0.085 	R
2459763.20158 	0.058 	R
2459763.20550 	0.028 	R
2459763.20943 	-0.004 	R
2459763.21334 	-0.014 	R
2459763.21725 	-0.031 	R
2459763.22117 	-0.043 	R
2459763.22509 	-0.058 	R
2459763.22901 	-0.064 	R
2459763.23292 	-0.083 	R
2459763.23683 	-0.096 	R
2459763.24256 	-0.097 	R
2459763.24649 	-0.098 	R
2459763.25040 	-0.099 	R
2459763.25432 	-0.093 	R
2459763.25823 	-0.109 	R
2459763.26215 	-0.101 	R
2459763.26607 	-0.086 	R
2459763.26998 	-0.073 	R
2459763.27389 	-0.063 	R
2459763.27782 	-0.046 	R
2459763.28173 	-0.031 	R
2459763.28565 	-0.030 	R
2459763.28956 	-0.018 	R
2459763.29348 	0.011 	R
2459763.29740 	0.028 	R
2459763.30131 	0.047 	R
2459763.30524 	0.076 	R
2459763.30915 	0.104 	R
2459763.31307 	0.139 	R
2459763.31698 	0.188 	R
2459763.32090 	0.232 	R
2459763.32482 	0.279 	R
2459763.32873 	0.320 	R
2459763.33265 	0.331 	R
2459763.34063 	0.326 	R
2459763.34454 	0.334 	R
2459763.34846 	0.324 	R
2459763.35238 	0.318 	R
2459763.35629 	0.330 	R
2459763.36021 	0.330 	R
2459763.36412 	0.294 	R
2459763.36805 	0.252 	R
2459763.37196 	0.202 	R
2459763.37588 	0.164 	R
2459763.37980 	0.126 	R
2459763.38371 	0.103 	R
2459763.38763 	0.066 	R
2459763.39154 	0.031 	R
2459763.39547 	0.019 	R
2459763.39938 	0.004 	R
2459763.40329 	-0.019 	R
2459763.40721 	-0.039 	R
2459763.41113 	-0.046 	R
2459763.41505 	-0.052 	R
2459763.41896 	-0.062 	R
2459763.42289 	-0.070 	R
2459763.42680 	-0.072 	R
2459763.43071 	-0.079 	R
2459763.43463 	-0.082 	R
2459763.43854 	-0.085 	R
2459763.44247 	-0.090 	R
2459763.44638 	-0.079 	R
2459763.45029 	-0.076 	R
2459763.45422 	-0.075 	R
2459763.45813 	-0.050 	R
2459763.46205 	-0.043 	R
2459763.46596 	-0.029 	R
2459763.46988 	-0.022 	R
2459763.47380 	0.004 	R
2459763.47771 	0.015 	R
2459762.19180 	0.084 	I
2459762.19698 	0.119 	I
2459762.20089 	0.144 	I
2459762.20482 	0.166 	I
2459762.20873 	0.201 	I
2459762.21264 	0.259 	I
2459762.21656 	0.297 	I
2459762.22048 	0.347 	I
2459762.22440 	0.362 	I
2459762.22832 	0.370 	I
2459762.23224 	0.371 	I
2459762.23616 	0.363 	I
2459762.24007 	0.360 	I
2459762.24399 	0.355 	I
2459762.24791 	0.361 	I
2459762.25183 	0.348 	I
2459762.25696 	0.304 	I
2459762.26088 	0.254 	I
2459762.26479 	0.216 	I
2459762.26872 	0.169 	I
2459762.27263 	0.138 	I
2459762.27655 	0.105 	I
2459762.28046 	0.071 	I
2459762.29666 	0.004 	I
2459762.30116 	-0.015 	I
2459762.30508 	-0.018 	I
2459762.30901 	-0.028 	I
2459762.31292 	-0.040 	I
2459762.31684 	-0.039 	I
2459762.32075 	-0.045 	I
2459762.32468 	-0.046 	I
2459762.32859 	-0.055 	I
2459762.33251 	-0.050 	I
2459762.33642 	-0.045 	I
